'Location','Parent','Submissions','PSR','Principles','Roadmaps','Combined'
'All',null,187,0,65,44,78
'Africa','All',20,4,9,5,6
'Australia and New Zealand','All',5,1,3,2,0
'Central & South America and the Carribbean','All',31,0,9,9,13
'East Asia','All',9,1,3,2,4
'Europe','All',45,3,12,9,24
'Global','All',25,9,15,5,5
'North America','All',39,1,12,11,16
'South and West Asia','All',13,1,2,1,10
'Cote D Ivoire','Africa',1,1,1,0,0
'Kenya','Africa',2,1,1,0,1
'Mauritius','Africa',1,0,0,0,1
'Nigeria','Africa',3,0,1,1,1
'Regional (Africa)','Africa',2,0,0,0,2
'Senegal','Africa',2,0,1,1,0
'Sudan','Africa',4,2,3,1,0
'Tunisia','Africa',3,0,1,1,1
'Zimbabwe','Africa',1,-1,0,1,0
'Australia','Australia and New Zealand',2,0,1,1,0
'New Zealand','Australia and New Zealand',3,1,2,1,0
'Argentina','Central & South America and the Carribbean',6,0,2,2,2
'Brazil','Central & South America and the Carribbean',17,-1,4,5,8
'Colombia','Central & South America and the Carribbean',1,0,0,0,1
'Costa Rica','Central & South America and the Carribbean',1,-1,0,1,0
'Regional (Central & South America and the Carribbean)','Central & South America and the Carribbean',4,2,2,0,2
'Trinidad And Tobago','Central & South America and the Carribbean',1,-1,0,1,0
'Uruguay','Central & South America and the Carribbean',1,1,1,0,0
'China','East Asia',2,1,1,0,1
'Japan','East Asia',4,0,1,1,2
'Malaysia','East Asia',1,-1,0,1,0
'South Korea','East Asia',2,1,1,0,1
'Austria','Europe',1,0,0,0,1
'Belgium','Europe',2,0,0,0,2
'Bulgaria','Europe',1,0,0,0,1
'Denmark','Europe',1,0,0,0,1
'France','Europe',6,-1,1,2,3
'Germany','Europe',2,1,1,0,1
'Italy','Europe',2,1,1,0,1
'Malta','Europe',1,-1,0,1,0
'Norway','Europe',1,0,0,0,1
'Poland','Europe',2,-1,0,1,1
'Portugal','Europe',1,-1,0,1,0
'Regional (Europe)','Europe',7,1,3,2,2
'Russia','Europe',3,0,0,0,3
'Spain','Europe',3,1,1,0,2
'Sweden','Europe',1,1,1,0,0
'Switzerland','Europe',6,0,2,2,2
'UK','Europe',4,1,1,0,3
'Ukraine','Europe',1,1,1,0,0
'Commonwealth','Global',2,2,2,0,0
'ICANN','Global',1,0,0,0,1
'Internet Society','Global',4,2,3,1,0
'Other','Global',18,5,9,4,5
'Canada','North America',2,1,1,0,1
'Mexico','North America',2,0,0,0,2
'Regional (North America)','North America',2,0,1,1,0
'USA','North America',33,0,10,10,13
'India','South and West Asia',7,-1,0,1,6
'Iran','South and West Asia',2,0,0,0,2
'Kuwait','South and West Asia',1,0,0,0,1
'Regional (South and West Asia)','South and West Asia',1,1,1,0,0
'Yemen','South and West Asia',2,1,1,0,1
