word,freq
right(s),509
policy(ies),397
government(s),377
information,262
process(es),260
stakeholder(s),251
public,231
human,222
multistakeholder,221
state(s),215
society(ies),205
icann,197
open(ness),185
access,184
development,172
group(s),166
participation,165
need(s),164
communication(s),160
technical,149
igf,148
service(s),148
country(ies),146
civil,140
organization(s),140
user(s),138
freedom(s),135
national,131
idea,127
privacy,126
system(s),125
data,123
people,120
surveillance,119
digital,115
function(s),115
mechanism(s),110
root(s),109
trade,107
decision(s),107
free,106
community(ies),105
interest(s),103
private,102
network(s),102
security,100
standard(s),100
future,98
social,97
individual(s),96
technology(ies),95
model,92
body(ies),92
iana,91
political,91
support,91
content,90
law,90
economic,88
nation(s),88
citizen(s),86
important,84
ecosystem(s),84
expression(s),84
aspen,81
online,75
united,75
infrastructure(s),75
protection,73
framework(s),73
create,73
democratic,72
innovation(s),71
project,70
control(s),68
company(ies),68
different,67
local,67
regional,67
economy(ies),67
capacity(ies),64
participate,63
accountability,62
necessary,62
participant(s),62
oversight,61
transparent,61
evolution,60
equal,59
transparency,58
address,57
time,57
environment(s),57
developed,55
developing,55
inclusive,54
respect,54
zone,54
power,53
common,52
democracy,51
forum,51
legal,51
provide,51
authority,50
implementation,50
knowledge,50
approach,49
discussion,49
example,49
rules,49
sector,49
agreements,48
first,48
there,48
issue,47
relevant,47
years,47
agreement,46
for,46
fundamental,46
best,45
continue,45
effective,45
possible,45
representatives,45
various,45
actors,44
diversity,44
domain,44
institutions,44
intellectual,44
just,44
property,44
business,43
cultural,43
netmundial,43
resources,43
used,43
all,42
nature,42
therefore,42
thus,42
agenda,41
areas,41
management,41
submission,41
today,41
universal,41
while,41
creation,40
develop,40
key,40
now,40
roles,40
benefits,39
providers,39
whether,39
believe,38
consensus,38
flow,38
members,38
personal,38
recommendations,38
region,38
software,38
activities,37
critical,37
efforts,37
given,37
independent,37
protected,37
charter,36
declaration,36
media,36
multilateral,36
net,36
proposed,36
recognized,36
still,36
allow,35
board,35
change,35
encourage,35
essential,35
every,35
good,35
include,35
opportunity,35
persons,35
sovereignty,35
convention,34
disabilities,34
distributed,34
impact,34
influence,34
market,34
paper,34
subject,34
wif,34
building,33
case,33
full,33
lack,33
needed,33
registries,33
taken,33
understanding,33
action,32
clear,32
commerce,32
consistent,32
enforcement,32
ensuring,32
involved,32
laws,32
platform,32
accessible,31
another,31
architecture,31
around,31
changes,31
culture,31
manner,31
protect,31
rather,31
recognize,31
space,31
stability,31
statement,31
toward,31
discussions,30
fully,30
growth,30
ict,30
improve,30
medium,30
name,30
others,30
place,30
second,30
some,30
