word,freq
policy,137
icann,130
standards,124
development,116
organizations,95
technical,93
root,79
processes,78
ietf,75
information,70
open,69
process,64
society,57
world,54
community,52
cyberspace,52
iana,49
new,48
review,48
stakeholders,47
participation,43
users,43
work,42
multistakeholder,41
participate,39
organization,38
group,36
issues,36
operators,36
model,35
server,34
address,33
public,33
security,33
board,31
network,31
use,31
working,31
activities,30
economic,30
governments,30
access,29
future,29
government,29
individuals,29
system,29
ecosystem,28
important,28
members,28
operation,28
domain,27
ipv,27
policies,27
services,27
cooperation,26
decisions,26
oversight,26
transparency,26
developed,25
cctld,24
charter,24
commonwealth,24
groups,24
igf,24
net,24
participants,24
responsible,24
role,24
wide,24
countries,23
interested,23
our,23
social,23
civil,22
data,22
developing,22
dns,22
evolution,22
function,22
html,22
human,22
infrastructure,22
name,22
regional,22
rights,22
support,22
atrt,21
discussions,21
gnso,21
innovation,21
meetings,21
openness,21
provide,21
resources,21
technology,21
registry,20
servers,20
service,20
stakeholder,20
addresses,19
allocation,19
ensure,19
example,19
growth,19
names,19
numbers,19
operational,19
protocols,19
rir,19
building,18
forum,18
involved,18
number,18
protocol,18
recommendations,18
report,18
several,18
success,18
understanding,18
upon,18
zone,18
accountability,17
free,17
individual,17
key,17
law,17
national,17
opportunity,17
people,17
provides,17
technologies,17
various,17
around,16
commerce,16
consensus,16
deployment,16
effective,16
essential,16
exchange,16
functions,16
ieee,16
include,16
level,16
management,16
nations,16
networks,16
particular,16
promoting,16
registries,16
stability,16
ability,15
adoption,15
available,15
bottom-,15
changes,15
collective,15
committee,15
communities,15
critical,15
develop,15
expertise,15
importance,15
interest,15
meeting,15
necessary,15
promote,15
respect,15
says,15
standardization,15
defined,14
digital,14
draft,14
engineering,14
environment,14
help,14
inclusive,14
internetnz,14
internets,14
relevant,14
supporting,14
telecommunications,14
used,14
values,14
assigned,13
authority,13
believe,13
best,13
better,13
country,13
directly,13
efforts,13
gtld,13
informed,13
need,13
needs,13
netmundial,13
others,13
rirs,13
shared,13
since,13
small,13
advisory,12
approach,12
areas,12
body,12
capacity,12
communications,12
contribution,12
entities,12
freedom,12
ieee-sa,12
membership,12
opportunities,12
order,12
potential,12
practices,12
proposal,12
proposed,12
request,12
reviews,12
see,12
standard,12
states,12
task,12
together,12
year,12
across,11
administration,11
agreement,11
aso,11
ccnso,11
committed,11
communication,11
consortium,11
contribute,11
coordination,11
current,11
domains,11
entity,11
flow,11
good,11
iab,11
iesg,11
improve,11
interests,11
internetsociety,11
introduction,11
mechanisms,11
multilateral,11
operations,11
operator,11
platform,11
political,11
possible,11
private,11
property,11
rather,11
space,11
terms,11
today,11
addition,10
agreed,10
appropriate,10
architecture,10
business,10
cctlds,10
collaboration,10
consideration,10
continue,10
contract,10
declaration,10
different,10
discussion,10
education,10
enable,10
engagement,10
equal,10
every,10
experts,10
first,10
force,10
impact,10
intellectual,10
large,10
list,10
nro,10
offers,10
paper,10
providers,10
range,10
responsibilities,10
responsibility,10
rfc,10
rssac,10
rules,10
sector,10
specifications,10
there,10
time,10
traffic,10
transparent,10
via,10
views,10
actions,9
basis,9
benefits,9
challenges,9
commitment,9
content,9
control,9
council,9
create,9
currently,9
distributed,9
diversity,9
encourage,9
established,9
experience,9
expression,9
final,9
focus,9
forums,9
icanns,9
increase,9
industry,9
interoperability,9
knowledge,9
much,9
multi-stakeholder,9
online,9
openstand,9
parties,9
pdf,9
peace,9
points,9
practical,9
privacy,9
progress,9
proven,9
recognise,9
solutions,9
some,9
specific,9
sustainable,9
team,9
therefore,9
top,9
united,9
while,9
action,8
addressing,8
adherence,8
approval,8
benefit,8
bodies,8
bring,8
central,8
citizens,8
common,8
companies,8
continues,8
corporation,8
creation,8
decision,8
discussed,8
documents,8
due,8
each,8
effort,8
empowerment,8
fair,8
full,8
fundamental,8
further,8
gac,8
gtlds,8
ict,8
(ietf),8
igp,8
institutions,8
like,8
lists,8
mailing,8
manner,8
matters,8
meet,8
nature,8
operate,8
overall,8
paradigm,8
place,8
protect,8
provided,8
providing,8
reports,8
representatives,8
require,8
research,8
respective,8
significant,8
structures,8
subject,8
tld,8
understand,8
vulnerable,8
accepted,7
actors,7
addressed,7
aimed,7
all,7
allows,7
appeals,7
applications,7
aspects,7
associated,7
association,7
balance,7
basic,7
businesses,7
cases,7
challenge,7
code,7
collaborative,7
comment,7
competition,7
considered,7
democracy,7
direct,7
document,7
done,7
economy,7
endorsed,7
equality,7
equity,7
etc,7
file,7
five,7
found,7
given,7
globally,7
governmental,7
grow,7
https,7
internationalized,7
itu,7
limited,7
local,7
market,7
markets,7
multiple,7
networking,7
now,7
offer,7
players,7
procedures,7
proposals,7
published,7
recent,7
regarding,7
remain,7
resource,7
root-servers,7
rule,7
section,7
strong,7
submission,7
supports,7
typically,7
undertaken,7
unique,7
universal,7
ways,7
whether,7
whole,7
widespread,7
worldwide,7
years,7
accept,6
accessible,6
accordance,6
active,6
another,6
any,6
anyone,6
approved,6
autonomous,6
broad,6
characteristics,6
chosen,6
commercial,6
conditions,6
constituency,6
consultations,6
continued,6
continuity,6
core,6
creating,6
cybercrime,6
democratic,6
department,6
deploy,6
determined,6
develops,6
dialogue,6
discuss,6
economies,6
effectively,6
emerging,6
evolve,6
evolved,6
existing,6
find,6
followed,6
form,6
formal,6
forward,6
generic,6
guide,6
history,6
home,6
(icann),6
initiatives,6
integrity,6
interoperable,6
involvement,6
isps,6
issue,6
its,6
itu-t,6
laws,6
leading,6
maintain,6
manage,6
mechanism,6
member,6
method,6
naming,6
next,6
norms,6
ongoing,6
organisation,6
outlined,6
problems,6
protection,6
recognition,6
recommended,6
required,6
resilience,6
right,6
ripe,6
running,6
safe,6
second,6
separation,6
serve,6
share,6
sharing,6
single,6
societies,6
staff,6
start,6
state,6
structure,6
successful,6
systems,6
taking,6
term,6
though,6
throughout,6
tools,6
top-level,6
uses,6
voice,6
voluntary,6
young,6
according,5
adopted,5
affordable,5
africa,5
allow,5
allowing,5
although,5
anycast,5
aoc,5
apnic,5
appeal,5
appendix,5
application,5
area,5
autonomy,5
background,5
become,5
blocks,5
bottom,5
broader,5
bylaws,5
case,5
change,5
comments,5
complex,5
concerns,5
connectivity,5
considering,5
continuing,5
contributed,5
cultural,5
debates,5
delegation,5
deliver,5
depends,5
dnsa,5
educational,5
either,5
electrical,5
element,5
enables,5
enabling,5
encouraged,5
end,5
engineers,5
enhance,5
ensuring,5
exist,5
expected,5
from,5
fully,5
gender,5
gives,5
greater,5
how,5
(iana),5
implement,5
increasing,5
increasingly,5
independent,5
interconnected,5
interconnection,5
investments,5
isoc,5
joint,5
know,5
known,5
look,5
measures,5
millennium,5
models,5
modern,5
nirs,5
offering,5
often,5
once,5
operates,5
outcomes,5
particularly,5
party,5
point,5
real,5
recommendation,5
region,5
regulation,5
requirements,5
requires,5
robust,5
roles,5
scope,5
