"X","word","freq","sector","avg.freq"
"6","rights",61,1,155.666666666667
"4130","rights",364,2,155.666666666667
"11861","rights",145,3,155.666666666667
"15168","rights",279,4,155.666666666667
"20019","rights",63,5,155.666666666667
"24672","rights",22,6,155.666666666667
"2","policy",66,1,129
"4131","policy",293,2,129
"11864","policy",96,3,129
"15203","policy",58,4,129
"19988","policy",124,5,129
"24588","policy",137,6,129
"3","information",65,1,127
"4132","information",262,2,127
"11863","information",110,3,127
"15174","information",124,4,127
"19985","information",131,5,127
"24597","information",70,6,127
"13","stakeholders",48,1,114.166666666667
"4140","stakeholders",177,2,114.166666666667
"11860","stakeholders",155,3,114.166666666667
"15178","stakeholders",94,4,114.166666666667
"19984","stakeholders",164,5,114.166666666667
"24607","stakeholders",47,6,114.166666666667
"1","icann",71,1,113.833333333333
"4136","icann",197,2,113.833333333333
"11872","icann",68,3,113.833333333333
"15171","icann",161,4,113.833333333333
"20029","icann",56,5,113.833333333333
"24589","icann",130,6,113.833333333333
"23","development",38,1,110.333333333333
"4141","development",172,2,110.333333333333
"11862","development",120,3,110.333333333333
"15179","development",93,4,110.333333333333
"19989","development",123,5,110.333333333333
"24591","development",116,6,110.333333333333
"8","human",59,1,102.166666666667
"4135","human",222,2,102.166666666667
"11866","human",88,3,102.166666666667
"15170","human",168,4,102.166666666667
"20034","human",54,5,102.166666666667
"24668","human",22,6,102.166666666667
"53","society",28,1,93
"4137","society",195,2,93
"11871","society",70,3,93
"15177","society",100,4,93
"19991","society",108,5,93
"24600","society",57,6,93
"24","issues",38,1,89
"4144","issues",163,2,89
"11867","issues",82,3,89
"15180","issues",88,4,89
"19986","issues",127,5,89
"24615","issues",36,6,89
"59","public",26,1,87.5
"4134","public",231,2,87.5
"11865","public",93,3,87.5
"15182","public",82,4,87.5
"20024","public",60,5,87.5
"24620","public",33,6,87.5
"91","access",19,1,87
"4138","access",184,2,87
"11893","access",47,3,87
"15172","access",140,4,87
"19993","access",103,5,87
"24629","access",29,6,87
"29","process",36,1,83.6666666666667
