Serial Number,Appearance of Multistakeholder,Sector,Organisation,Country
1,0,Academia,Institute Of International Relations,Ukraine
2,2,Government,"Federal Foreign Office, Commissioner For International Cyber Policy",Germany
3,0,Civil Society,Association For Proper Internet Governance,Switzerland
4,3,Civil Society,"ISOC, Yemen",Yemen
5,0,Academia,Universidad Nacional De San Luis,Argentina
6,10,Government,U.S. Government,United States
7,0,Academia,George Washington University,The United States
8,1,Civil Society,Association For Proper Internet Governance,Switzerland
9,0,Government,Government Of People'S Republic Of China,People’s Republic Of China
10,0,Civil Society,Paradigm Initiative Nigeria,Nigeria
11,10,Civil Society,"Global Knowledge Partnership Foundation, NPOC",Europe
12,8,Government,"Department For Culture, Media And Sport, United Kingdom Government",United Kingdom
13,7,Civil Society,"Noncommercial Stakeholders Group, Icann",North America
14,0,Academia,"University Of Gezira, Wad Medani, Sudan","Sudan, Africa"
15,3,Civil Society,Association For Proper Internet Governance,Switzerland
16,5,Civil Society,Zimbabwe Human Rights Forum,Zimbabwe
17,0,Private Sector,Beta Advanced Projects,Sudan
18,5,Government,Government Of Sweden,Sweden
19,5,Civil Society,"Noncommercial Stakeholders Group, Icann",North America
20,0,Private Sector,Alvarez & Marsal (Information Security Forum Agent For Brazil),Brazil
21,6,Academia,St. Thomas University / University Of Łódź,USA / Poland 
22,5,Civil Society,Individial Submission On Behalf Of And In Consultation With Stakeholders From All Multistakeholder Constituencies,Australia
23,6,Private Sector,Internet Governance Coalition,Americas
24,3,Civil Society,Best Bits,Global
25,8,Civil Society,Best Bits,Global
26,5,Civil Society,Article 19 And Best Bits,Global
27,1,Civil Society,Just Net Coalition: This Coalition Was Formed At A Meeting In Delhi In February 2014.,Global
28,3,Academia,"University Of Gezira, Wad Medani, Sudan","Sudan, Africa"
29,9,Civil Society,Isoc Costa Rica Chapter,Costa Rica
30,8,Civil Society,Isoc-Yemen,Yemen
31,4,Government,Internet Governance Forum (Igf) Secretariat,"Geneva, Switzerland"
32,9,Civil Society,Independent Researcher,USA
33,0,Civil Society,"Centre For Community Informatics Research, Development And Training",Canada
34,0,Private Sector,Identidad Robada,Argentina
35,0,Private Sector,China Institutes Of Contemporary International Relations - Institutes of Information and Development of Society,China
36,2,Civil Society,Action De Sensibilisation Sur Les Ntic - Ecosoc Ngo,Democratic Republic Of Congo
37,0,Academia,Federal University Of Ceará - Ufc,"São Paulo, Brazil"
38,20,Civil Society,Personal Submission,Malaysia
39,2,Private Sector,Aficta - Africa ICT Alliance,Africa
40,0,Academia,"University Of Gezira, Wad Medani, Sudan","Sudan, Africa"
41,0,Civil Society,Eurolinc,"France, Europe"
42,1,Technical Community,Internetnz,New Zealand
43,3,Civil Society,Hivos,MENA
44,2,Private Sector,Techuk,UK
45,1,Government,State Duma Of The Russian Federation (Parliament Of The Russia),Russian Federation
46,4,Government,Norwegian Post And Telecommunications Authority,"Norway, Europe"
47,2,Government,Ministry Of External Affairs,India
48,15,Private Sector,Telecom Italia Group,Italy / Brazil
49,2,Private Sector,"Brazil – U.S. Business Council, U.S. Section",United States
50,9,Private Sector,GSMA,Global
51,1,Private Sector,"Telefonica, S.A.",Spain
52,3,Government,Helga.Mieling@Bmvit.Gv.At,"Austrian Federal Ministry For Transport, Innovation And Technology"
53,1,Private Sector,Executive Director - Argentina Internet Association (Cabase),Argentina
54,9,Civil Society,"Citizens' Coalition For Economic Justice , Cybercommons (Korea), Korean Progressive Network Jinbonet, Opennet (Korea), Network Neutrality User Forum",South Korea
55,6,Private Sector,Google Inc.,USA
56,1,Private Sector,ETNO [European Telecommunications Network Operators' Association],Belgium
57,2,Government,"Ministry Of Transport, Information Technology And Communications, Information Technology And Electronic Governance Directorate",Bulgaria
58,9,Other,UNESCO,France
59,0,Civil Society,International Centre For Free And Open Source Software,India
60,2,Other,Independent Researcher,USA
61,13,Government,French Ministry Of Foreign Affairs,France
62,15,Other,UNESCO,France
63,5,Private Sector,Nominet,UK
64,4,Private Sector,AHCIET,Latin America
65,2,Government,"Director/Head, Operations Department",Commonwealth Telecommunications Organisation
66,2,Other,"Internet Rights And Principles Coalition (Un Igf) / Goldsmiths (University Of London, Uk)",New Zealand
67,2,Private Sector,U.S. Chamber Of Commerce,United States
68,2,Civil Society,The Spanish Internet Governance Forum,Spain
69,1,Civil Society,Just Net Coalition: This Coalition Was Formed In Delhi In February 2014,Global
70,6,Government,"Ministry Of Industry, Energy And Tourism",Spain
71,1,Private Sector,European Association Of Internet Services Providers,Belgium
72,0,Civil Society,World Press Freedom Committee,France/United States
73,3,Academia,The Mercatus Center At George Mason University,USA
74,4,Other,African ICT / IG Stakeholders,Africa
75,0,Academia,The Mercatus Center At George Mason University,USA
76,45,Civil Society,"Executive Director, Communications And Society Program",The Aspen Institute 
77,2,Government,"Government Of Denmark, Danish Business Authority","Denmark, Europe"
78,3,Academia,Institut For Communication Research,Brazil And Germany
79,11,Government,European Commission,Europe
80,11,Government,European Commission,Europe
81,0,Civil Society,W3C Brazil,Brazil
82,17,Other,Brazilian Internet Steering Committee – CGI.Br,Brazil
83,14,Private Sector,ICC Basis,France
84,0,Civil Society,Jonction,Sénégal
85,6,Other,OECD,Global
86,3,Private Sector,Organization - Verizon Communications,Global With Company Headquarters In The U.S.
87,7,Government,Swiss Federal Office Of Communication Ofcom,Switzerland
88,7,Private Sector,Telecommunications Industry Association,United States
89,4,Other,The Internet Association,United States
90,0,Civil Society,Internet Governance Caucus,Cote D'Ivoire
91,2,Civil Society,Our Rights (Or),Nigeria
92,1,Government,Ministry Of Foreign Affairs Of Argentina,Argentina
93,2,Technical Community,Commonwealth Telecommunications Organisation,Commonwealth
94,2,Government,Ministry Of Foreign Affairs Of Argentina,Argentina
95,2,Civil Society,Diplo Foundation,Malta
96,3,Government,Ministry Of Science And Technology,Trinidad And Tobago
97,5,Private Sector,Orange Group,Global
98,5,Academia,"Avri Doria, Independent Researcher",USA
99,5,Private Sector,"World Information Technology And Services Alliance (WITSA), Global",Global
100,6,Private Sector,Microsoft Corporation,United States
101,2,Other,Panel On Global Internet Cooperation And Governance Mechanisms,Global
102,2,Private Sector,Mozilla,United States
103,5,Private Sector,Cisco Systems,USA
104,5,Private Sector,Internet Infrastructure Coalition,United States Of America
105,5,Private Sector,Intel,United States
106,3,Civil Society,Kuwait Information Technology Society,Kuwait
107,3,Civil Society,Centro De Estudos Da Mídia Alternativa Barão De Itararé,Brazil
108,1,Technical Community,IEEE Standards Association,Global
109,1,Academia,International Geo Crítica And Association Of Professors Of The Rio De Janeiro State University,Brazil
110,3,Government,Ministry Of Foreign Affairs Of Argentina,Argentina
111,9,Government,Secretaría De Comunicaciones Y Transportes,México
112,4,Civil Society,Eastwest Institute,United States Of America
113,0,Civil Society,Internet Society Of Australia,Australia/Asia Pacific
114,3,Private Sector,Japan Internet Service Providers Association,Japan
115,4,Private Sector,Facebook,Uk
116,5,Private Sector,Deutsche Telekom Ag,Germany/Europe
117,4,Civil Society,"Institute For InfoSocinomics, Tama University",Japan
118,1,Civil Society,Free And Open Source Software Foundation,Poland
